汉字	max综合类型	max综合正字	min综合类型	min综合正字
𦢺	0	𦢺	0	𦢺
𦢻	1	膺	1	膺
𦢼	1	贏	3	
𦢽	1	𦞦	1	𦞦
𦢿	2	臇&𦢿	2	臇&𦢿
𦣀	2	䐑&𦣀	2	䐑&𦣀
𦣁	1	膘	1	膘
𦣃	1	𦢊	3	
𦣄	1	羸	1	羸
𦣆	1	𦟟	1	𦟟
𦣇	0	𦣇	0	𦣇
𦣈	3	𦢸&膊	1	膊
𦣉	1	羸	1	羸
𦣊	1	臡	1	臡
𦣋	0	𦣋	0	𦣋
𦣌	1	膴	1	膴
𦣍	2	羹&𦣍	0	𦣍
𦣎	0	𦣎	3	
𦣏	1	癵	1	癵
𦣐	1	臠	1	臠
𦣑	1	酥	1	酥
𦣒	0	𦣒	0	𦣒
𦣓	1	脰	1	脰
𦣔	1	裸	3	
𦣖	0	𦣖	0	𦣖
𦣚	1	臡	1	臡
𦣛	2	臠&𦣛	2	臠&𦣛
𦣜	0	𦣜	0	𦣜
𦣝	3	頤&𦣞	1	頤
𦣞	2	頤&𦣞	0	𦣞
𦣠	3	望&朢	3	望&朢
𦣣	1	臧	1	臧
𦣤	1	巸	1	巸
𦣩	1	臦	1	臦
𦣮	1	孤	1	孤
𦣱	1	賾	3	
𦣲	1	臨	1	臨
𦣴	0	𦣴	0	𦣴
𦣷	1	臨	1	臨
𦣸	0	𦣸	0	𦣸
𦣹	1	自	1	自
𦣺	1	白	1	白
𦣻	2	百&首&𦣻	2	百&首&𦣻
𦣼	1	自	1	自
𦣽	1	惠	1	惠
𦣾	0	𦣾	0	𦣾
𦣿	1	京	1	京
𦤀	1	臭	1	臭
𦤂	0	𦤂	0	𦤂
𦤃	1	皇	1	皇
𦤄	1	𥄕	1	𥄕
𦤅	1	首	3	
𦤆	1	雲	1	雲
𦤇	1	皈	1	皈
𦤉	1	船	3	
𦤊	1	衄	1	衄
𦤌	1	臮	1	臮
𦤍	1	皇	1	皇
𦤐	1	皇	1	皇
𦤒	1	終	1	終
𦤓	1	鼻	3	
𦤔	1	臱	1	臱
𦤕	0	𦤕	0	𦤕
𦤖	1	罪	3	
𦤘	2	庸&𦤘	0	𦤘
𦤙	2	臲&𦤙	2	臲&𦤙
𦤚	2	𣧧&𦤚	2	𣧧&𦤚
𦤜	1	悟	3	
𦤝	2	𦤝&臱	1	臱
𦤞	1	臲	1	臲
𦤟	0	𦤟	0	𦤟
𦤡	3	䭂&鄓	1	䭂
𦤢	0	𦤢	0	𦤢
𦤣	0	𦤣	0	𦤣
𦤦	2	餀&𦤦	2	餀&𦤦
𦤧	0	𦤧	0	𦤧
𦤨	0	𦤨	0	𦤨
𦤪	1	𦤦	1	𦤦
𦤫	0	𦤫	0	𦤫
𦤬	0	𦤬	0	𦤬
𦤲	1	佛	1	佛
𦤳	1	至	1	至
𦤴	1	至	1	至
𦤵	1	至	1	至
𦤶	3	緻&致	1	致
𦤷	1	致	3	
𦤹	1	致	1	致
𦤺	1	致	1	致
𦤻	0	𦤻	0	𦤻
𦤼	3	𦤿&屋&臺	3	屋&臺
𦤿	2	𦤿&屋	1	屋
𦥀	1	致	3	
𦥁	0	𦥁	0	𦥁
𦥂	0	𦥂	0	𦥂
𦥅	2	絰&𦥅	1	絰
𦥇	1	臻	1	臻
𦥈	0	𦥈	0	𦥈
𦥉	0	𦥉	0	𦥉
𦥊	2	𦥊&懫	1	懫
𦥋	2	𦥊&懫&𦥋	2	懫&𦥋
𦥎	1	輊	1	輊
𦥏	0	𦥏	0	𦥏
𦥐	0	𦥐	0	𦥐
𦥑	2	臼&𦥑	2	臼&𦥑
𦥒	1	齒	1	齒
𦥓	1	囟	1	囟
𦥔	1	申	1	申
𦥕	3	𡬯&貶	1	貶
𦥘	1	貶	1	貶
𦥙	3	曳&臾	1	曳
𦥚	0	𦥚	3	
𦥛	1	臿	1	臿
𦥝	2	𦥝&舀	1	舀
𦥞	1	舀	1	舀
𦥟	1	舀	1	舀
𦥠	1	舁	1	舁
𦥡	1	䑔	1	䑔
𦥢	1	臽	1	臽
𦥤	1	𦥚	3	
𦥥	1	䑔	1	䑔
𦥦	0	𦥦	0	𦥦
𦥧	1	貶	1	貶
𦥨	1	舀	1	舀
𦥩	1	鼠	1	鼠
𦥪	1	齒	3	
𦥫	1	臿	1	臿
𦥬	1	𥹁	3	
𦥭	0	𦥭	0	𦥭
𦥮	1	爲	1	爲
𦥱	0	𦥱	3	
𦥲	2	𦥭&𦥲	0	𦥲
𦥳	2	𨺫&𦥳	0	𦥳
𦥴	1	舂	1	舂
𦥵	1	舀	1	舀
𦥶	1	舅	1	舅
𦥷	1	興	1	興
𦥸	1	與	1	與
𦥹	1	舁	1	舁
𦥺	1	要	1	要
𦥻	0	𦥻	0	𦥻
𦥼	1	要	1	要
𦥽	1	舂	1	舂
𦥾	1	𦥭	1	𦥭
𦥿	1	焰	1	焰
𦦀	1	申	1	申
𦦁	1	𪓬	1	𪓬
𦦂	1	齒	1	齒
𦦃	1	齯	1	齯
𦦄	0	𦦄	0	𦦄
𦦅	0	𦦅	0	𦦅
𦦆	2	䋰&𦦆	1	䋰
𦦇	1	𦥻	1	𦥻
𦦈	1	臿	1	臿
𦦉	3	𢍱&䙲	1	䙲
𦦊	1	舅	1	舅
𦦌	1	舀	1	舀
𦦏	1	齏	1	齏
𦦐	1	𦥭	1	𦥭
𦦑	0	𦦑	0	𦦑
𦦒	1	遷	3	
𦦓	1	舂	1	舂
𦦔	0	𦦔	3	
𦦕	1	歃	1	歃
𦦖	1	𠮐	1	𠮐
𦦗	0	𦦗	0	𦦗
𦦘	0	𦦘	0	𦦘
𦦙	1	舉	1	舉
𦦚	1	寅	1	寅
𦦛	1	𣱓	1	𣱓
𦦜	0	𦦜	0	𦦜
𦦝	2	𦦝&𦦧	2	𦦝&𦦧
𦦞	1	𦦝	1	𦦝
𦦡	1	𦦧	1	𦦧
𦦢	0	𦦢	0	𦦢
