[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.455s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:08]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.697s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.096s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.013s]
[2025-10-04 04:03:09]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.166s]
[2025-10-04 04:03:10]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.859s]
[2025-10-04 04:03:10]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:10]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:10]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:10]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:11]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.252s]
[2025-10-04 04:03:11]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:11]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:11]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:11]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:12]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.745s]
[2025-10-04 04:03:12]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:12]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:12]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:12]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:14]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.248s]
[2025-10-04 04:03:14]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:14]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:14]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:14]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
