vol_page,page_names,page_name,end_page_name,reel_code,src,should_delete,remark,word_txt
第129册／第32页,JS_129_63#JS_129_64,JS_129_63,,JS_1668_65,国图径山藏,1,应与上一条合并,常丕钦五钱，常门杨氏一钱，常门施氏一钱，常门穆氏一钱，常可爱一钱，常可欣二钱，沈湛卢一两二钱，张敏求五钱，杨梦璋六钱，徐杨三钱，钱寿国二钱，潘侯藩二钱四分六厘，王门符氏三钱，又常门施氏一钱。
第129册／第587页,JS_129_1173#JS_129_1174,JS_129_1174,,JS_1668_90,国图径山藏,,,助刻《华严疏钞》音释檀越开后∶王烁然募五钱，金汝□三钱，吴应潮、姚氏四钱，洪梦锡募四钱，□慧四钱，照彻三钱，佛普七分，明皓、道□、如澄、如桂、钱中选、胡大信、蔡应科、邹孟源、屠卿、王大恒、陈民功、郁门常、郑德新、夏尚质、范天庆、姜氏、护生、石汝琦、石腾霄、周廷凤、通晓、王宾吾、慧饶、海讷、海湛、海兆、智涌、李春荣、能信、大清、仁化、寔印、智足、元闻、净因、智证、永阒、智水、大勇、王元正、颜氏各一钱，郁逢庆、葛昌言、姚以敬各一钱六分，包文燧、钱大敏、范氏、戚氏、张大渊、石声芳、石声扬各五分，陈氏、阿闰各三分，张羽公九分，陈文魁一分，性慈五分。助刻《华严疏钞》第八十卷普集姓名附后：比丘西域罗汉二众二百文，此土明乘、明圣、净生、德全、圆精、德良二愿，智周、通旻、明硕、隐元、时显、心灯五愿，广学、续祯、胜祖、海国、海滨、寂慧、明宁、海慧、智慧、定庵、大珍、如息、性经、真镫、性白、智岑、圆音、清梵、受珹、受澄、受智、海印、寂用、圆慧、妙性、寂声、行祥、通明、空集、海觉、达观、智灯、衍庆、法生、道如、吴天锡、智觉、寂禅、宏祖、实仙、真达、海慧、心靖、普滨、真月、海福、昙恒、如德、圆珍、通秀二愿，恒音二愿，光范、光祚、性涵、盛时、如昱、则韶、尚贤、通易、净滨、道寰、圆钧、明韬、储四、嘉僖、朱五、慈名、法占、信乘、志淳、律垣、性善、德行、广慈、道严、慈瑜、永庆、智机、梵珠、大车、祖芳、慧海、正修、惟晋、德孚、通讲、通藏、池寿明、黄惟清、永誉、德纯、方璞、广戒、张国圣、如月、悟渠、性解、性觉。比丘尼妙静、圆洁、圆证、明宗、明显、显宗、曾寿、德义、妙正、德定、成寂、成圆、海澄、道昇、道洁。
第129册／第588页,JS_129_1175#JS_129_1176,JS_129_1175,JS_129_1179,JS_1668_90,国图径山藏,,,羽客张三省、徐模、沈渔、张鹏、徐圣留、沈世澄、张鹗、朱烨、朱茂暲、陈泓、蒋德言、濮嘉庆、李蓁、蒋应皋、顾体文、杨万林、俞正阶、杨守中、顾諟明、俞逸。善男信女薛明惠、冯继祯、于云程、王之义、方世良、陆应鵾、凌志仁、海福、许云庆、海寿、吕良、徐明悌、张守诚、沈承宗、怀壬郎、范承宗、陈世新、吴承宪、张国相、王思仁、张庆元、殷明受、黄氏、李恩、海祥、殷彦卿、邓氏、江氏、沈氏、朱氏、金氏、王珮四愿，王氏、智名、张尚贤、海德、祖名、祖连、祖正、祖善、广玄、道得、张氏、周氏、沈氏、吴氏、吴复贤、宝姐、二姐、徐弘达、吴复昌、项氏、沈有量、蔡大宾、沈元章、何大立、陶振先、严尔瞻、杨德先、杨渐于、王肇基、蔡镛、宋氏、于子钰、于门徐氏、于姚、福娜、于引之、陆氏、于氏、于子、京孙、獒孙、计门钱氏、顾氏、姚氏、观圣、顾门沈氏、计氏、潘氏、犬郎、杨门叚氏、隍寿、继孙、王有泰二愿，王希孙、高士重二愿，高元熙、王大观、王大元、沈迈生、沈中芳、沈桂官、沈士声、陈氏、万氏、顾氏、丑郎、方良寅、沈承宗、马氏、张长辛、陆震、朱氏、李应魁、万司习、源梅五愿，继寿、韩良宰、陆自达、龚应明、郭氏、徐承祖、长姐、王氏、十二官、姚氏、芙姐、王惺、纯郎、亨亨、圣孙、吕氏、姜昇、颜氏、颜氏、张氏、黄氏、颜师舜二愿，颜开、颜朗、颜照、项大官、项亥官二愿，卢门李氏、沈福观、沈氏、冯氏、锺氏、罗氏、美姐、顾存孝、陆宪宗、富应元、许应宗、许文宪、陆氏、陈氏、朱氏、净修、许明遇、成广易、国华、国章、成纯、成纪、何氏、周氏、成淑德、鲍氏、杨氏、陈氏、杨氏、杨瑞芳、孙兰、周氏、卜氏、八娜、贺默、贺言、贺君圣、周氏、沈氏、万氏二愿，王氏、姚氏、江氏、张氏、范氏、徐氏、成信、成允升、谢氏、龚氏、陆寿娜、顾氏、张世华、俞氏、施承德、王氏、施一元、李承芳、李隍龙、施氏、刘卿、倪大素、王家相、江氏、吴其、朱氏、陆圣祖、王氏、张氏、吴寿福、沈应登、沈戌郎、林光祖、高氏、戴明时、狄叔九、高俊、詹仲明、朱邦信、陆应元、范广缘、陈氏、陆鸿逵、徐氏、陆天逵、陆四娜、五娜、七娜、金氏、沈懋德、沈南池、张君禄、沈氏、广兼、张成忠、王氏、吴承德、曹氏、吴刘胤、周氏、吴圣生、吴福姐、吴承恩、储氏、吴士杰、王氏、吴士仪、孟氏、俞氏、酉娜、巧娜、沈氏、邹氏、朱氏二愿，沈氏、曹氏、卜胤昌、卜、卜琮、卜珽、沈自新、卜瓒、朱朝煌、沈庚、张弘勋、卜元会、□玮、施广寄、俞广贤、李氏、金氏、陈氏、钱广澄、张华、高万俸、袁宰、钱弘赈、陈思礼、俞氏、吴亥郎、吴普达、姜兆熊、钱百朋、成信、徐顺、曹震、王用宾、曹文华、叶科、叶取郎、钱永豊、蒋仁、徐国祯、张大顺、王应麒、王氏、周氏、王俊儒、王氏、孩儿、李昱、郑中渐、吴应乾、蔡国祥、顾日新、沈酉锡、岳世勋、濮成源、王九鼎、张纯忠、金西有、顾又新、顾震、李氏、锺心泉、朱广叙、梅小桥、梅濬溪、朱□色、朱长庚、朱显宗、酉有、梅广卿、真普法、梅全愚、姚氏五愿，姚濂、姚八郎、沈氏、吴巳郎、吴氏、都起、陆子贤、周氏、俞桔、周氏、李氏、徐氏、张氏、萧应龙、张成、赵圣宗、祖娜、沈应龙、顾氏、吴尚义、王氏、沈明琏、朱氏、鲍氏、袁氏、沈茂林、杨氏、徐尚锦、沈氏、朱万叶、盛氏、朱氏、壬姐、梦官、朱佛子、王氏、胡氏、徐氏、尹闻荪、吴如海、吴如汉、陈应元、吴之震、吴道洽、严关通、关泰、严海留、严维垣、吕士晋、吕士弘、吕士任、韩模、韩朴、程氏、韩氏、姜氏、张勉、陈氏、韩广、韩应元、宋氏、韩应潮、吴氏、杨寿姐、杨氏、陶氏、季氏、韩元姐、吕乐宣、吴永祯、张懋典、倪天祥、沈嘉谋、范承芳、沈师彬、娄光泰、陈宗玄、施汝震、严自张、吴士懋、吴士隆、张氏、沈以韶、陆氏、金四达、盛时成、陆观女、钱氏、陆
第129册／第589页,JS_129_1177#JS_129_1178,JS_129_1177#JS_129_1178,,JS_1668_90,国图径山藏,1,,王□、钱氏、陈六、张汀、沈观福、吴德成、圣爱、成彩、成贤、邹氏、范氏、智瑞、金氏、杨氏、童氏、冯试、史林、龚承、吴氏、齐氏、张进、顾宇、徐应高、朱文、柴华、周尚贤五愿，丘添二愿，冯寿孙二愿，张秀、叶元、叶祥胤、叶氏、杨氏、李氏、闵氏、金氏、李氏、刘氏、郭如城、倪桂姐、计氏、王应仁、王子郎、郭大忠、陈忠义、陈官龙、仲可贤、观定、姜氏、闰姐、杨万年、杨氏、曹和廷、张冲宇、钱尚宾、沈养心、吴玉衡、曹玄枢、姚光虞、陈予嘉、潘云程、朱怀荆、诸氏、沈湛庵、陈侍泉、程延甫、王有德、李芳、杨氏、孙应诏、钱氏、孙逢吉、王氏、孙桂元、二狗、孙鹏、钱氏、俞氏、孙氏、金邦珍、夏氏、金兑、王氏、金辂、金豊、金翰郎、朝娜、孙氏、文氏、彭门顾氏、蔡门彭氏、酉娜、未郎、元郎、三郎、小娜、吴氏、周氏、冬寿、倪亮、沈氏、国彦、科娜、王氏、殷承德、钱氏、高氏、殷继芳、寿郎、福郎、继贤、陈氏、倪国贤、顾应第、顾酉元、七郎、金郎、引姐、观姐、杨氏、王氏、高氏、李寿娜、沈朝宰、张氏、沈承祖、龙姐、留娜、徐门姚氏、姚应第、张志学、徐氏、张文选、许观佑、高属姐、屠应祥、计 、智忍、吕氏、李继元、沈氏、李应春、周济、孙大行、徐世英、高氏、李大著、倪氏、智圆、智正、智顺、赵文元、窦文通、张应明、高氏、沈氏、姚梦祖、姚定姐、徐环宇募三愿，阿隍、官姐、高玄竣、王氏、张氏、锺萃禄、孟氏、沈氏、陈氏、周氏、崔可仁、胡广疆、陈应选、徐门陶氏、王门许氏、王大济、性乘、刘允元、曹日新、堵氏、王普元、如玉二愿，徐思诚，以上每愿各助钱十一文，张颍募胡门沈氏十文，张富二十文，沈湛卢募王氏五十文，严氏五十文，朱氏二十文，钱门范氏、鉏氏、窦绍芳、萧长寿、黄光美、郭氏、沈氏、倪氏，以上八名各十六文，老盲乞沈忠五十文，颠乞一文，以上同生众竟。小猫、小犬、鸭、鸡、金鱼、虎犬、螃蟹约计钱二千文，以上异生众竟。经尾空陿姓名繁广，前刻不尽者附后：郑忠材一钱，沈广冠、张广锡、海致、陈香醉、刘明胜、蒋明哲、刘明椿、徐兰锡、刘明进、刘明观、刘明缄、刘大詝、刘大訷、刘大音、张广磌、朱明岳、刘祖鉊、彭孙振、朱维封、未懋增、蔡联璧、金广梁、锺允文、郑良余各一钱，王天胤、智超、智越、王明义、陈净标、陈净榜各五分，以上项广玹募助第二十卷。史普仁二钱，范忠一钱，海宁九分，陈科、冯大量、胡纯忠、俞应征、杨元发、张承祖、陈氏各五分，沈门顾氏四分，黄氏、一姐、再姐各三分，陈氏、陆氏各一分，以上广充募助二十三卷之二。姚庑、王麒郎、陈赤共六钱，以上陈鋐募助七十六卷。海鉴一百文，广亮八分，海定一百文，海印四分，海鎣四十四文，大闻二十二文，闻解、大净四十四文，智荣十文，海洲三十文，明忍十文，成妙十二文，成亮十二文，海潮、海明三十文，海慧二十文，智越、明企各四十文，大安二十五文，陈大卿五十文，继贤、管应道、王永勤四十四文，顾明戒四十二文，沈海亮四十二文，倪应文、许氏、彭大寿、彭承祖、王道懋、陆德寿五文，袁仕富、李传芳二十文，丘子云二十文，陆永海、陆氏、陶守耕、朱君盛、朱酉姐、袁岐峰、汪典当、陶一官五分，吴氏二十文，董氏、官舍各五文，以上沈明修募助七十五卷。已刻中缝恐难查者附后：戴海映四钱，广淞三钱，寂洪三钱，海庆三钱，净圭一钱。领募不能完愿自行分单募补者附后：
第129册／第590页,JS_129_1179#JS_129_1180,JS_129_1179,,JS_1668_90,国图径山藏,1,应与上三条合并,蔡之桢募蔡士英、徐可选、顾国垣、蔡应□、陈应元各一钱，郑忠材自舍五钱，王以绳募戈右韩五钱，王维新为□心田寿五钱，为莫□齐寿三钱，王门吕海德□□□王寂昌二钱，张云鹤自舍五钱，沙门□□□智闲各五钱。第十五卷□□□钱赖上来檀波圆满，愿其获福无□。董廷谏一两五钱。
第135册／第671页,JS_135_1341#JS_135_1342,JS_135_1342,JS_135_1343,JS_1671_43,国图径山藏,,,钦褒忠义忠荩四川左布政云南丽阳佛弟子木增，同丽江府知府授参政男木懿，应袭孙木靕，暨诸子孙，太学生木乔、木参，生员木宿、木、木橒、木、木极、悟乐等，各捐净捧〔俸〕延僧命役，敬奉《大方广佛华严经三昧忏仪》一部，共四十二卷，六十一册。直达南直隶苏州府尝熟县隐湖南村笃素居士毛凤苞汲古阁中鸠良工雕造，起于崇祯庚辰孟夏，终于辛巳暮春，凡一载功成。今置此版于
第135册／第672页,JS_135_1343#JS_135_1344,JS_135_1343,,JS_1671_43,国图径山藏,1,应与上一条合并,浙江嘉兴府楞严寺藏经阁，祈流通诸四众，历劫熏修，见闻此法，永持不舍，所愿一乘顿教，遍布人寰，三有群生，俱明性海者耳。赍经僧係鸡足山悉檀禅寺比丘道源、玄契等。
第137册／第619页,JS_137_1237#JS_137_1238,JS_137_1238,JS_137_1239,JS_1682_8,国图径山藏,,,吏部侍郎姚弘谟助银伍两，
第137册／第620页,JS_137_1239#JS_137_1240,JS_137_1239,,JS_1682_8,国图径山藏,1,应与上一条合并,贵州提学副使包柽芳助银拾两，翰林院编修冯梦桢〔祯〕助银拾两，嘉兴县知县顾云程助银伍两，秀水县知县陈九德助银伍两，长洲县知县鲁凤仪助银拾两，嘉兴乡进士包世杰助银拾两，吴江吴氏助银拾两荐父吴邦栋、母徐氏。
第142册／第616页,JS_142_1231#JS_142_1232,JS_142_1232,JS_142_1233,JS_1696_2,国图径山藏,,,助梓士夫：陆树声、陆光祖、黄正色、黄洪宪、冯第、冯梦祯、窦文照、李衷弘、李衷毅、吴缉、袁表、顾诚心、项德徵。
