page,issue_type,obj_id,detail
HN_5_4_253,CHAR_MISSING_COLUMN,b1c387c61,expected column b1c387
HN_5_4_253,CHAR_MISSING_COLUMN,b1c390c1,expected column b1c390
HN_5_4_253,CHAR_MISSING_COLUMN,b1c390c2,expected column b1c390
HN_5_4_253,CHAR_MISSING_COLUMN,b1c390c62,expected column b1c390
HN_5_4_253,CHAR_MISSING_COLUMN,b1c390c63,expected column b1c390
HN_5_4_253,CHAR_MISSING_COLUMN,b1c390c64,expected column b1c390
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c1,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c2,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c3,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c4,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c65,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c66,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c393c67,expected column b1c393
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c1,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c2,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c3,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c4,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c68,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c69,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c396c70,expected column b1c396
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c1,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c2,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c3,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c4,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c71,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c72,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c399c73,expected column b1c399
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c1,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c2,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c3,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c4,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c5,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c74,expected column b1c402
